day_number,date,is_weekend,is_holiday,daily_new_registrations,daily_active_users,daily_labeling_requests,daily_recipe_views,daily_orders_via_app,customer_feedback_score,sales_force_outreach_calls,sap_data_quality_score,market_consolidation_pressure_index,regulatory_update_mentions,app_revenue_share_pct,customer_retention_rate_30d,feature_request_count,traditional_order_volume,new_recipes_added
25,2018-07-25,FALSE,FALSE,36,245,203,589,16,4.5,24,88.2,7.5,0,1.7,0.76,4,112,6
26,2018-07-26,FALSE,FALSE,33,258,215,612,17,4.4,20,88.7,7.2,0,1.8,0.78,5,114,0
27,2018-07-27,FALSE,FALSE,28,267,223,634,18,4.6,17,89.1,7.6,0,1.9,0.80,6,116,0
28,2018-07-28,TRUE,FALSE,16,167,156,423,10,4.3,10,89.5,7.2,0,2.0,0.78,3,118,0
29,2018-07-29,TRUE,FALSE,13,134,128,356,7,4.2,7,89.7,6.9,0,2.0,0.75,2,120,0
30,2018-07-30,FALSE,FALSE,42,289,245,689,19,4.7,28,90.3,7.8,0,2.1,0.82,7,111,0
31,2018-07-31,FALSE,FALSE,45,312,267,734,21,4.6,26,90.9,8.0,0,2.2,0.84,6,109,0
32,2018-08-01,FALSE,FALSE,38,324,278,756,22,4.5,22,91.3,7.4,0,2.3,0.86,5,108,0
33,2018-08-02,FALSE,FALSE,35,336,289,778,23,4.4,19,91.8,7.1,0,2.4,0.88,4,110,0
34,2018-08-03,FALSE,FALSE,31,345,296,789,24,4.5,15,92.2,7.5,0,2.5,0.89,5,112,0
35,2018-08-04,TRUE,FALSE,18,212,212,534,13,4.3,8,92.5,7.2,0,2.6,0.88,3,114,0
36,2018-08-05,TRUE,FALSE,14,167,178,445,9,4.2,5,92.7,6.8,0,2.6,0.85,2,116,0
37,2018-08-06,FALSE,FALSE,48,367,312,834,25,4.6,30,93.2,7.9,0,2.7,0.91,7,107,0
38,2018-08-07,FALSE,FALSE,51,389,334,867,27,4.7,28,93.8,8.2,0,2.8,0.93,6,105,0
39,2018-08-08,FALSE,FALSE,44,401,345,889,28,4.5,23,94.1,7.6,0,2.9,0.94,5,104,0
40,2018-08-09,FALSE,FALSE,38,412,356,912,29,4.4,19,94.5,7.3,1,3.0,0.95,6,106,0
41,2018-08-10,FALSE,FALSE,33,423,367,934,30,4.5,16,94.9,7.7,0,3.1,0.96,7,108,0
42,2018-08-11,TRUE,FALSE,20,267,267,623,17,4.3,9,95.2,7.1,0,3.2,0.95,4,110,0
43,2018-08-12,TRUE,FALSE,16,212,223,534,12,4.2,6,95.4,6.8,0,3.2,0.93,3,112,0
44,2018-08-13,FALSE,FALSE,28,445,378,956,31,4.6,24,95.8,7.8,0,3.3,0.97,8,103,0
45,2018-08-14,FALSE,FALSE,31,456,389,978,32,4.5,21,96.2,7.5,0,3.4,0.98,7,102,0
46,2018-08-15,FALSE,FALSE,26,467,401,1001,33,4.4,18,96.5,7.2,0,3.5,0.99,6,104,0
47,2018-08-16,FALSE,FALSE,22,478,412,1023,34,4.5,14,96.9,7.6,0,3.6,1.00,5,106,0
48,2018-08-17,FALSE,FALSE,18,489,423,1045,35,4.3,11,97.2,7.0,0,3.7,1.01,6,108,0
49,2018-08-18,TRUE,FALSE,12,312,312,712,19,4.2,7,97.4,6.7,0,3.8,1.00,3,110,0
50,2018-08-19,TRUE,FALSE,9,245,245,623,15,4.1,4,97.6,6.5,0,3.8,0.98,2,112,0
51,2018-08-20,FALSE,FALSE,35,512,445,1123,37,4.5,27,98.0,7.7,0,3.9,1.02,7,101,0
52,2018-08-21,FALSE,FALSE,38,534,456,1156,38,4.4,25,98.3,7.4,0,4.0,1.03,6,100,0
53,2018-08-22,FALSE,FALSE,33,545,467,1178,39,4.3,21,98.6,7.1,0,4.1,1.04,5,102,0
54,2018-08-23,FALSE,FALSE,29,556,478,1201,40,4.4,17,98.9,7.5,0,4.2,1.05,6,104,0
55,2018-08-24,FALSE,FALSE,25,567,489,1234,41,4.2,13,99.1,6.9,0,4.3,1.06,7,106,0
56,2018-08-25,TRUE,FALSE,15,356,356,823,22,4.1,8,99.3,6.6,0,4.4,1.05,4,108,0
57,2018-08-26,TRUE,FALSE,12,289,289,756,18,4.0,5,99.5,6.3,0,4.4,1.03,3,110,0
58,2018-08-27,FALSE,FALSE,41,589,501,1256,42,4.4,26,99.7,7.4,0,4.5,1.07,8,99,0
59,2018-08-28,FALSE,FALSE,44,601,512,1289,43,4.3,24,99.8,7.1,0,4.6,1.08,7,98,0
60,2018-08-29,FALSE,FALSE,38,612,523,1312,44,4.2,20,99.9,6.8,0,4.7,1.09,6,100,0
61,2018-08-30,FALSE,FALSE,33,623,534,1334,45,4.3,16,94.8,7.2,0,4.8,1.10,5,102,0
62,2018-08-31,FALSE,FALSE,28,634,545,1356,46,4.1,12,94.9,6.6,0,4.9,1.11,6,104,0
63,2018-09-01,TRUE,FALSE,16,401,401,912,25,4.0,7,95.1,6.3,0,5.0,1.10,3,106,0
64,2018-09-02,TRUE,FALSE,13,334,334,823,20,3.9,4,95.3,6.1,0,5.0,1.08,2,108,0
65,2018-09-03,FALSE,FALSE,42,645,556,1378,47,4.2,25,95.6,7.2,0,5.1,1.12,7,97,0
66,2018-09-04,FALSE,FALSE,45,656,567,1412,48,4.1,23,95.9,6.9,0,5.2,1.13,6,96,0
67,2018-09-05,FALSE,FALSE,38,667,578,1434,49,4.0,19,96.2,6.6,0,5.3,1.14,5,98,0
68,2018-09-06,FALSE,FALSE,33,678,589,1456,50,4.1,15,96.5,7.0,0,5.4,1.15,6,100,0
69,2018-09-07,FALSE,FALSE,28,689,601,1478,51,3.9,11,96.8,6.4,0,5.5,1.16,7,102,0
70,2018-09-08,TRUE,FALSE,17,423,423,1023,27,3.8,6,97.0,6.1,0,5.6,1.15,4,104,0
71,2018-09-09,TRUE,FALSE,14,356,356,934,23,3.7,3,97.2,5.8,0,5.6,1.13,3,106,0
72,2018-09-10,FALSE,FALSE,29,701,612,1501,52,4.0,20,97.5,6.9,0,5.7,1.17,6,95,0
73,2018-09-11,FALSE,FALSE,32,712,623,1523,53,4.1,18,97.8,6.6,0,5.8,1.18,5,94,0
74,2018-09-12,FALSE,FALSE,27,723,634,1545,54,3.9,14,98.1,6.3,0,5.9,1.19,4,96,0
75,2018-09-13,FALSE,FALSE,23,734,645,1567,55,4.0,10,98.4,6.7,0,6.0,1.20,5,98,0
76,2018-09-14,FALSE,FALSE,19,745,656,1589,56,3.8,6,98.6,6.1,0,6.1,1.21,6,100,0
77,2018-09-15,TRUE,FALSE,11,456,456,1123,30,3.7,3,98.8,5.8,0,6.2,1.20,3,102,0
78,2018-09-16,TRUE,FALSE,8,389,389,1034,26,3.6,0,99.0,5.5,0,6.2,1.18,2,104,0
79,2018-09-17,FALSE,FALSE,35,756,667,1612,57,3.9,22,99.2,6.6,0,6.3,1.22,7,93,0
80,2018-09-18,FALSE,FALSE,38,767,678,1634,58,4.0,20,99.4,6.3,0,6.4,1.23,6,92,0
81,2018-09-19,FALSE,FALSE,32,778,689,1656,59,3.8,16,99.6,6.0,0,6.5,1.24,5,94,0
82,2018-09-20,FALSE,FALSE,28,789,701,1678,60,3.9,12,99.7,6.4,0,6.6,1.25,6,96,0
83,2018-09-21,FALSE,FALSE,24,801,712,1701,61,3.7,8,99.8,5.8,0,6.7,1.26,7,98,0
84,2018-09-22,TRUE,FALSE,13,489,489,1234,32,3.6,4,99.9,5.5,0,6.8,1.25,4,100,0
85,2018-09-23,TRUE,FALSE,10,423,423,1145,28,3.5,1,94.5,5.2,0,6.8,1.23,3,102,0
86,2018-09-24,FALSE,FALSE,42,812,723,1723,62,3.8,24,94.8,6.3,0,6.9,1.27,8,91,0
87,2018-09-25,FALSE,FALSE,45,823,734,1745,63,3.9,22,95.1,6.0,0,7.0,1.28,7,90,0
88,2018-09-26,FALSE,FALSE,38,834,745,1767,64,3.7,18,95.4,5.7,0,7.1,1.29,6,92,0
89,2018-09-27,FALSE,FALSE,33,845,756,1789,65,3.8,14,95.7,6.1,0,7.2,1.30,5,94,0
90,2018-09-28,FALSE,FALSE,29,856,767,1812,66,3.6,10,96.0,5.5,0,7.3,1.31,6,96,0
91,2018-09-29,TRUE,FALSE,16,534,534,1323,34,3.5,5,96.2,5.2,0,7.4,1.30,3,98,0
92,2018-09-30,TRUE,FALSE,12,467,467,1234,30,3.4,2,96.4,4.9,0,7.4,1.28,2,100,0
93,2018-10-01,FALSE,FALSE,51,867,778,1834,67,3.7,26,96.7,6.0,0,7.5,1.32,7,89,0
94,2018-10-02,FALSE,FALSE,54,878,789,1856,68,3.8,24,97.0,5.7,0,7.6,1.33,6,88,0
95,2018-10-03,TRUE,TRUE,8,212,212,534,15,3.6,3,97.2,5.4,0,7.6,1.32,1,90,0
96,2018-10-04,FALSE,FALSE,36,889,801,1878,69,3.7,20,97.5,6.5,0,7.7,1.34,5,87,0
97,2018-10-05,FALSE,FALSE,32,901,812,1901,70,3.6,16,97.8,6.2,0,7.8,1.35,4,89,0
98,2018-10-06,FALSE,FALSE,28,912,823,1923,71,3.5,12,98.1,5.9,0,7.9,1.36,5,91,0
99,2018-10-07,TRUE,FALSE,14,556,556,1412,36,3.4,6,98.3,5.5,0,8.0,1.35,2,93,0
100,2018-10-08,FALSE,FALSE,38,923,834,1945,72,3.6,21,98.6,6.6,0,8.1,1.37,6,86,0
101,2018-10-09,FALSE,FALSE,41,934,845,1967,73,3.7,19,98.9,6.3,0,8.2,1.38,5,85,0
102,2018-10-10,FALSE,FALSE,35,945,856,1989,74,3.5,15,99.2,6.0,0,8.3,1.39,4,87,0
103,2018-10-11,FALSE,FALSE,31,956,867,2012,75,3.6,11,99.4,6.4,0,8.4,1.40,5,89,0
104,2018-10-12,FALSE,FALSE,26,967,878,2034,76,3.4,7,99.6,5.8,0,8.5,1.41,6,91,0
105,2018-10-13,TRUE,FALSE,15,589,589,1498,38,3.3,3,94.2,5.5,0,8.6,1.40,3,93,0
106,2018-10-14,TRUE,FALSE,11,523,523,1409,34,3.2,0,94.4,5.2,0,8.6,1.38,2,95,0
107,2018-10-15,FALSE,FALSE,48,978,889,2056,77,3.5,23,94.7,6.3,0,8.7,1.42,7,84,0
108,2018-10-16,FALSE,FALSE,51,989,901,2078,78,3.6,21,95.0,6.0,0,8.8,1.43,6,83,0
109,2018-10-17,FALSE,FALSE,44,1001,912,2101,79,3.4,17,95.3,5.7,0,8.9,1.44,5,85,0
110,2018-10-18,FALSE,FALSE,38,1012,923,2123,80,3.5,13,95.6,6.1,0,9.0,1.45,4,87,0
111,2018-10-19,FALSE,FALSE,33,1023,934,2145,81,3.3,9,95.9,5.5,0,9.1,1.46,5,89,0
112,2018-10-20,TRUE,FALSE,18,623,623,1521,41,3.2,4,96.1,5.2,0,9.2,1.45,2,91,0
113,2018-10-21,TRUE,FALSE,14,556,556,1432,37,3.1,1,96.3,4.9,0,9.2,1.43,1,93,0
114,2018-10-22,FALSE,FALSE,52,1034,945,2167,82,3.4,24,96.6,6.0,0,9.3,1.47,6,82,0
115,2018-10-23,FALSE,FALSE,55,1045,956,2189,83,3.5,22,96.9,5.7,0,9.4,1.48,5,81,0
116,2018-10-24,FALSE,FALSE,48,1056,967,2212,84,3.3,18,97.2,5.4,0,9.5,1.49,4,83,0
117,2018-10-25,FALSE,FALSE,42,1067,978,2234,85,3.4,14,97.5,5.8,0,9.6,1.50,5,85,0
118,2018-10-26,FALSE,FALSE,36,1078,989,2256,86,3.2,10,97.8,5.2,0,9.7,1.51,6,87,0
119,2018-10-27,TRUE,FALSE,21,678,678,1567,43,3.1,5,98.0,4.9,0,9.8,1.50,3,89,0
120,2018-10-28,TRUE,FALSE,16,601,601,1478,39,3.0,2,98.2,4.6,0,9.8,1.48,2,91,0
121,2018-10-29,FALSE,FALSE,58,1089,1001,2278,87,3.3,25,98.5,5.7,0,9.9,1.52,7,80,0
122,2018-10-30,FALSE,FALSE,61,1101,1012,2301,88,3.4,23,98.8,5.4,0,10.0,1.53,6,79,0
123,2018-10-31,FALSE,FALSE,54,1112,1023,2323,89,3.2,19,99.1,5.1,0,10.1,1.54,5,81,0
124,2018-11-01,FALSE,FALSE,48,1123,1034,2345,90,3.3,15,99.3,5.5,0,10.2,1.55,4,83,0
125,2018-11-02,FALSE,FALSE,42,1134,1045,2367,91,3.1,11,94.5,4.9,0,10.3,1.56,5,85,0
126,2018-11-03,TRUE,FALSE,24,712,712,1612,45,3.0,5,94.7,4.6,0,10.4,1.55,2,87,0
127,2018-11-04,TRUE,FALSE,18,645,645,1523,41,2.9,2,94.9,4.3,0,10.4,1.53,1,89,0
128,2018-11-05,FALSE,FALSE,65,1145,1056,2389,92,3.2,26,95.2,5.4,0,10.5,1.57,6,78,0
129,2018-11-06,FALSE,FALSE,68,1156,1067,2412,93,3.3,24,95.5,5.1,0,10.6,1.58,5,77,0
130,2018-11-07,FALSE,FALSE,61,1167,1078,2434,94,3.1,20,95.8,4.8,0,10.7,1.59,4,79,0
131,2018-11-08,FALSE,FALSE,54,1178,1089,2456,95,3.2,16,96.1,5.2,0,10.8,1.60,5,81,7
132,2018-11-09,FALSE,FALSE,48,1189,1101,2478,96,3.0,12,96.4,4.6,0,10.9,1.61,6,83,0
133,2018-11-10,TRUE,FALSE,27,734,734,1656,48,2.9,6,96.6,4.3,0,11.0,1.60,3,85,0
134,2018-11-11,TRUE,FALSE,21,667,667,1567,44,2.8,3,96.8,4.0,0,11.0,1.58,2,87,0
135,2018-11-12,FALSE,FALSE,72,1201,1112,2501,97,3.1,27,97.1,5.1,0,11.1,1.62,7,76,0
136,2018-11-13,FALSE,FALSE,75,1212,1123,2523,98,3.2,25,97.4,4.8,0,11.2,1.63,6,75,0
137,2018-11-14,FALSE,FALSE,68,1223,1134,2545,99,3.0,21,97.7,4.5,0,11.3,1.64,5,77,0
138,2018-11-15,FALSE,FALSE,61,1234,1145,2567,100,3.1,17,98.0,4.9,0,11.4,1.65,4,79,0
139,2018-11-16,FALSE,FALSE,54,1245,1156,2589,101,2.9,13,98.2,4.3,0,11.5,1.66,5,81,0
140,2018-11-17,TRUE,FALSE,31,767,767,1698,51,2.8,7,98.4,4.0,0,11.6,1.65,2,83,0
141,2018-11-18,TRUE,FALSE,24,701,701,1609,47,2.7,4,98.6,3.7,0,11.6,1.63,1,85,0
142,2018-11-19,FALSE,FALSE,78,1256,1167,2612,102,3.0,28,98.8,4.8,0,11.7,1.67,8,74,0
143,2018-11-20,FALSE,FALSE,81,1267,1178,2634,103,3.1,26,99.1,4.5,0,11.8,1.68,7,73,0
144,2018-11-21,FALSE,FALSE,74,1278,1189,2656,104,2.9,22,99.3,4.2,0,11.9,1.69,6,75,0
145,2018-11-22,FALSE,FALSE,68,1289,1201,2678,105,3.0,18,94.8,4.6,0,12.0,1.70,5,77,0
146,2018-11-23,FALSE,FALSE,62,1301,1212,2701,106,2.8,14,95.1,4.0,0,12.1,1.71,6,79,0
147,2018-11-24,TRUE,FALSE,35,801,801,1734,53,2.7,8,95.3,3.7,0,12.2,1.70,3,81,0
148,2018-11-25,TRUE,FALSE,28,734,734,1645,49,2.6,5,95.5,3.4,0,12.2,1.68,2,83,0
149,2018-11-26,FALSE,FALSE,85,1312,1223,2723,107,2.9,29,95.8,4.5,0,12.3,1.72,8,72,0
150,2018-11-27,FALSE,FALSE,88,1323,1234,2745,108,3.0,27,96.1,4.2,0,12.4,1.73,7,71,0
151,2018-11-28,FALSE,FALSE,81,1334,1245,2767,109,2.8,23,96.4,3.9,0,12.5,1.74,6,73,0
152,2018-11-29,FALSE,FALSE,75,1345,1256,2789,110,2.9,19,96.7,4.3,0,12.6,1.75,5,75,0
153,2018-11-30,FALSE,FALSE,69,1356,1267,2812,111,2.7,15,96.9,3.7,0,12.7,1.76,6,77,0
154,2018-12-01,TRUE,FALSE,39,834,834,1767,55,2.6,9,97.1,3.4,0,12.8,1.75,3,79,0
155,2018-12-02,TRUE,FALSE,32,767,767,1678,51,2.5,6,97.3,3.1,0,12.8,1.73,2,81,0
156,2018-12-03,FALSE,FALSE,92,1367,1278,2834,112,2.8,30,97.6,4.2,0,12.9,1.77,9,70,0
157,2018-12-04,FALSE,FALSE,95,1378,1289,2856,113,2.9,28,97.9,3.9,0,13.0,1.78,8,69,0
158,2018-12-05,FALSE,FALSE,88,1389,1301,2878,114,2.7,24,98.2,3.6,0,13.1,1.79,7,71,0
159,2018-12-06,FALSE,FALSE,82,1401,1312,2901,115,2.8,20,98.4,4.0,0,13.2,1.80,6,73,0
160,2018-12-07,FALSE,FALSE,76,1412,1323,2923,116,2.6,16,98.6,3.4,0,13.3,1.81,7,75,0
161,2018-12-08,TRUE,FALSE,42,856,856,1801,57,2.5,8,98.8,3.1,0,13.4,1.80,4,77,0
162,2018-12-09,TRUE,FALSE,35,789,789,1712,53,2.4,5,99.0,2.8,0,13.4,1.78,3,79,0
163,2018-12-10,FALSE,FALSE,28,1423,1334,2945,117,2.7,21,99.2,3.9,0,13.5,1.82,6,68,0
164,2018-12-11,FALSE,FALSE,31,1434,1345,2967,118,2.8,19,99.4,3.6,0,13.6,1.83,5,67,0
165,2018-12-12,FALSE,FALSE,26,1445,1356,2989,119,2.6,15,99.6,3.3,0,13.7,1.84,4,69,0
166,2018-12-13,FALSE,FALSE,22,1456,1367,3012,120,2.7,11,94.2,3.7,0,13.8,1.85,5,71,0
167,2018-12-14,FALSE,FALSE,18,1467,1378,3034,121,2.5,7,94.4,3.1,0,13.9,1.86,6,73,0
168,2018-12-15,TRUE,FALSE,10,912,912,1845,59,2.4,3,94.6,2.8,0,14.0,1.85,3,75,0
169,2018-12-16,TRUE,FALSE,7,845,845,1756,55,2.3,0,94.8,2.5,0,14.0,1.83,2,77,0
170,2018-12-17,FALSE,FALSE,35,1478,1389,3056,122,2.6,22,95.1,3.6,0,14.1,1.87,7,66,0
171,2018-12-18,FALSE,FALSE,38,1489,1401,3078,123,2.7,20,95.4,3.3,0,14.2,1.88,6,65,0
172,2018-12-19,FALSE,FALSE,32,1501,1412,3101,124,2.5,16,95.7,3.0,0,14.3,1.89,5,67,0
173,2018-12-20,FALSE,FALSE,28,1512,1423,3123,125,2.6,12,96.0,3.4,0,14.4,1.90,6,69,0
174,2018-12-21,FALSE,FALSE,24,1523,1434,3145,126,2.4,8,96.3,2.8,0,14.5,1.91,7,71,0
175,2018-12-22,TRUE,FALSE,13,945,945,1878,63,2.3,4,96.5,2.5,0,14.6,1.90,4,73,0
176,2018-12-23,TRUE,FALSE,10,878,878,1789,59,2.2,1,96.7,2.2,0,14.6,1.88,3,75,0
177,2018-12-24,FALSE,TRUE,2,212,212,534,12,2.1,0,96.9,1.9,0,14.7,1.87,0,76,0
178,2018-12-25,FALSE,TRUE,1,178,178,445,8,2.0,0,97.1,1.6,0,14.7,1.85,0,77,0
179,2018-12-26,FALSE,TRUE,3,234,234,556,15,2.2,1,97.3,2.0,0,14.8,1.84,0,78,0
180,2018-12-27,FALSE,FALSE,22,1534,1445,3167,127,2.5,14,97.6,3.1,1,14.9,1.88,5,63,0
181,2018-12-28,FALSE,FALSE,19,1545,1456,3189,128,2.6,10,97.9,2.8,0,15.0,1.89,4,65,0
182,2018-12-29,TRUE,FALSE,11,967,967,1901,64,2.4,5,98.1,2.4,0,15.1,1.88,2,67,0
183,2018-12-30,TRUE,FALSE,8,901,901,1812,60,2.3,2,98.3,2.1,0,15.1,1.86,1,69,0
184,2018-12-31,FALSE,FALSE,25,1556,1467,3212,129,2.5,11,98.5,3.2,0,15.2,1.90,5,62,0
185,2019-01-01,FALSE,TRUE,4,267,267,623,18,2.4,0,98.7,1.8,0,15.2,1.89,0,63,0
186,2019-01-02,FALSE,FALSE,28,1567,1478,3234,130,2.6,16,99.0,2.9,0,15.3,1.91,6,61,0
187,2019-01-03,FALSE,FALSE,31,1578,1489,3256,131,2.7,12,99.2,2.6,0,15.4,1.92,5,63,0
188,2019-01-04,FALSE,FALSE,26,1589,1501,3278,132,2.5,8,94.8,3.0,0,15.5,1.93,4,65,0
189,2019-01-05,TRUE,FALSE,15,989,989,1945,66,2.4,4,95.0,2.6,0,15.6,1.92,2,67,0
190,2019-01-06,TRUE,FALSE,12,923,923,1856,62,2.3,1,95.2,2.3,0,15.6,1.90,1,69,0
191,2019-01-07,FALSE,FALSE,54,1601,1512,3301,133,2.6,20,95.5,3.4,0,15.7,1.94,6,60,0
192,2019-01-08,FALSE,FALSE,57,1612,1523,3323,134,2.7,18,95.8,3.1,0,15.8,1.95,5,59,0
193,2019-01-09,FALSE,FALSE,51,1623,1534,3345,135,2.5,14,96.1,2.8,0,15.9,1.96,4,61,0
194,2019-01-10,FALSE,FALSE,45,1634,1545,3367,136,2.6,10,96.4,3.2,0,16.0,1.97,5,63,0
195,2019-01-11,FALSE,FALSE,38,1645,1556,3389,137,2.4,6,96.7,2.6,0,16.1,1.98,6,65,0
196,2019-01-12,TRUE,FALSE,22,1023,1023,1989,69,2.3,3,96.9,2.3,0,16.2,1.97,3,67,0
197,2019-01-13,TRUE,FALSE,18,956,956,1901,65,2.2,0,97.1,2.0,0,16.2,1.95,2,69,0
198,2019-01-14,FALSE,FALSE,61,1656,1567,3412,138,2.5,21,97.4,3.1,0,16.3,1.99,7,58,0
199,2019-01-15,FALSE,FALSE,64,1667,1578,3434,139,2.6,19,97.7,2.8,0,16.4,2.00,6,57,0
200,2019-01-16,FALSE,FALSE,57,1678,1589,3456,140,2.4,15,98.0,2.5,0,16.5,2.01,5,59,0
201,2019-01-17,FALSE,FALSE,51,1689,1601,3478,141,2.5,11,98.2,2.9,0,16.6,2.02,6,61,0
202,2019-01-18,FALSE,FALSE,45,1701,1612,3501,142,2.3,7,98.4,2.3,0,16.7,2.03,7,63,0
203,2019-01-19,TRUE,FALSE,26,1056,1056,2023,71,2.2,4,98.6,2.0,0,16.8,2.02,4,65,0
204,2019-01-20,TRUE,FALSE,21,989,989,1934,67,2.1,1,98.8,1.7,0,16.8,2.00,3,67,0
205,2019-01-21,FALSE,FALSE,68,1712,1623,3523,143,2.4,22,99.1,2.8,0,16.9,2.04,7,56,0
206,2019-01-22,FALSE,FALSE,71,1723,1634,3545,144,2.5,20,94.8,2.5,0,17.0,2.05,6,55,0
207,2019-01-23,FALSE,FALSE,64,1734,1645,3567,145,2.3,16,95.1,2.2,0,17.1,2.06,5,57,0
208,2019-01-24,FALSE,FALSE,58,1745,1656,3589,146,2.4,12,95.4,2.6,0,17.2,2.07,4,59,0
209,2019-01-25,FALSE,FALSE,51,1756,1667,3612,147,2.2,8,95.7,2.0,0,17.3,2.08,5,61,0
210,2019-01-26,TRUE,FALSE,29,1098,1098,2067,73,2.1,4,95.9,1.7,0,17.4,2.07,2,63,0
211,2019-01-27,TRUE,FALSE,24,1034,1034,1978,69,2.0,1,96.1,1.4,0,17.4,2.05,1,65,0
212,2019-01-28,FALSE,FALSE,74,1767,1678,3634,148,2.3,23,96.4,2.5,0,17.5,2.09,8,54,0
213,2019-01-29,FALSE,FALSE,77,1778,1689,3656,149,2.4,21,96.7,2.2,0,17.6,2.10,7,53,0
214,2019-01-30,FALSE,FALSE,70,1789,1701,3678,150,2.2,17,97.0,1.9,0,17.7,2.11,6,55,0
215,2019-01-31,FALSE,FALSE,64,1801,1712,3701,151,2.3,13,97.2,2.3,0,17.8,2.12,5,57,0
216,2019-02-01,FALSE,FALSE,57,1812,1723,3723,152,2.1,9,97.4,1.7,0,17.9,2.13,6,59,0
217,2019-02-02,TRUE,FALSE,32,1134,1134,2101,75,2.0,5,97.6,1.4,0,18.0,2.12,3,61,0
218,2019-02-03,TRUE,FALSE,26,1067,1067,2012,71,1.9,2,97.8,1.1,0,18.0,2.10,2,63,0
219,2019-02-04,FALSE,FALSE,80,1823,1734,3745,153,2.2,24,98.1,2.2,0,18.1,2.14,8,52,0
220,2019-02-05,FALSE,FALSE,83,1834,1745,3767,154,2.3,22,98.4,1.9,0,18.2,2.15,7,51,0
221,2019-02-06,FALSE,FALSE,76,1845,1756,3789,155,2.1,18,98.7,1.6,0,18.3,2.16,6,53,0
222,2019-02-07,FALSE,FALSE,70,1856,1767,3812,156,2.2,14,99.0,2.0,0,18.4,2.17,5,55,0
223,2019-02-08,FALSE,FALSE,64,1867,1778,3834,157,2.0,10,99.2,1.4,0,18.5,2.18,6,57,0
224,2019-02-09,TRUE,FALSE,36,1178,1178,2134,77,1.9,6,99.4,1.1,0,18.6,2.17,3,59,0
225,2019-02-10,TRUE,FALSE,30,1112,1112,2045,73,1.8,3,99.6,0.8,0,18.6,2.15,2,61,0
